period,duracion_agonisticas,duracion_publico,duracion_afiliativas,duracion_ludico_social,duracion_sexual,duracion_ludicas,duracion_higiene,duracion_locomocio,duracion_reposo,duracion_exploracion,duracion_alimentacion
Juego,0.005531181691678923,0.006249762561025244,0.24914900642295948,0.03260087944086996,0.0,0.0919972612992067,0.022219276881103363,0.0804243272981554,0.36886836126063216,0.008254224986043932,0.13470571815832488
Postjuego,0.0016316725534576346,0.0016407590965243513,0.23045468994340274,0.07491840365884289,0.0,0.07068697230464852,0.02613700455515984,0.06792358856313381,0.3523122368782522,0.014757236786283346,0.15953743566029466
Prejuego,0.002952244828158237,0.0030559978412883987,0.33279266883623837,0.06650568141643363,0.004036935419973564,0.056479367511218924,0.022184280625649117,0.09619790735586536,0.2861979706734996,0.004121824248898242,0.12547512124277643
