,date,reg,subject,period,macro_bhv,freq
108,2019-04-18,2,Storma,pregame,Social,14
109,2019-04-19,1,Hadia,pregame,Individual,1
110,2019-04-19,1,Hadia,pregame,Social,5
111,2019-04-19,1,Jawie,pregame,Individual,3
112,2019-04-19,1,Jawie,pregame,Social,4
113,2019-04-19,1,Karl,pregame,Individual,2
114,2019-04-19,1,Locky,pregame,Social,1
115,2019-04-19,1,Popo,pregame,Individual,10
116,2019-04-19,1,Popo,pregame,Ludic,4
117,2019-04-19,1,Popo,pregame,Social,7
118,2019-04-19,1,Storma,pregame,Individual,1
119,2019-04-19,2,Hadia,pregame,Individual,7
120,2019-04-19,2,Hadia,pregame,Ludic,8
121,2019-04-19,2,Hadia,pregame,Social,7
122,2019-04-19,2,Hadia,pregame,Social-Ludic,6
123,2019-04-19,2,Jawie,pregame,Individual,2
124,2019-04-19,2,Jawie,pregame,Social,2
125,2019-04-19,2,Karl,pregame,Agonistic,1
126,2019-04-19,2,Karl,pregame,Individual,21
127,2019-04-19,2,Locky,pregame,Individual,3
128,2019-04-19,2,Locky,pregame,Social,5
129,2019-04-19,2,Popo,pregame,Individual,14
130,2019-04-19,2,Popo,pregame,Ludic,4
131,2019-04-19,2,Popo,pregame,Social,2
132,2019-04-19,2,Popo,pregame,Social-Ludic,5
133,2019-04-19,2,Storma,pregame,Individual,8
134,2019-04-19,2,Storma,pregame,Ludic,1
135,2019-04-19,2,Storma,pregame,Social,8
136,2019-04-22,1,Hadia,pregame,Social,1
137,2019-04-22,1,Jawie,pregame,Individual,1
138,2019-04-22,1,Jawie,pregame,Social,1
139,2019-04-22,1,Karl,pregame,Agonistic,1
140,2019-04-22,1,Karl,pregame,Individual,4
141,2019-04-22,1,Locky,pregame,Social,1
142,2019-04-22,1,Popo,pregame,Individual,9
143,2019-04-22,1,Popo,pregame,Public,4
144,2019-04-22,1,Popo,pregame,Social,16
145,2019-04-22,1,Storma,pregame,Individual,12
146,2019-04-22,2,Hadia,pregame,Individual,3
147,2019-04-22,2,Hadia,pregame,Social,3
148,2019-04-22,2,Jawie,pregame,Individual,13
149,2019-04-22,2,Jawie,pregame,Social,2
150,2019-04-22,2,Karl,pregame,Agonistic,1
151,2019-04-22,2,Karl,pregame,Individual,29
152,2019-04-22,2,Karl,pregame,Social,3
153,2019-04-22,2,Locky,pregame,Individual,6
154,2019-04-22,2,Locky,pregame,Public,1
155,2019-04-22,2,Locky,pregame,Social,2
156,2019-04-22,2,Popo,pregame,Agonistic,3
157,2019-04-22,2,Popo,pregame,Individual,2
158,2019-04-22,2,Popo,pregame,Social,6
159,2019-04-22,2,Storma,pregame,Individual,24
160,2019-04-22,2,Storma,pregame,Ludic,1
161,2019-04-22,2,Storma,pregame,Social-Ludic,2
162,2019-04-23,1,Hadia,pregame,Social,1
163,2019-04-23,1,Hadia,pregame,Social-Ludic,1
164,2019-04-23,1,Jawie,pregame,Individual,2
165,2019-04-23,1,Jawie,pregame,Social,5
166,2019-04-23,1,Karl,pregame,Individual,3
167,2019-04-23,1,Locky,pregame,Individual,1
168,2019-04-23,1,Popo,pregame,Individual,6
169,2019-04-23,1,Popo,pregame,Social,3
170,2019-04-23,1,Popo,pregame,Social-Ludic,3
171,2019-04-23,1,Storma,pregame,Individual,20
172,2019-04-23,1,Storma,pregame,Ludic,2
173,2019-04-23,1,Storma,pregame,Social,2
174,2019-04-23,1,Storma,pregame,Social-Ludic,1
175,2019-04-23,2,Hadia,pregame,Individual,16
176,2019-04-23,2,Hadia,pregame,Ludic,2
177,2019-04-23,2,Hadia,pregame,Social,3
178,2019-04-23,2,Jawie,pregame,Individual,11
179,2019-04-23,2,Jawie,pregame,Social,6
180,2019-04-23,2,Karl,pregame,Individual,1
