,date,subject,period,reg,behavior,receptor,duration,bhv_category,macro_bhv,rel_duration
63,2019-04-18,Karl,pregame,1,con,['Hadia'],5.0,agonistic,Agonistic,0.008130081300813009
64,2019-04-18,Karl,pregame,1,sen,[],23.0,resting,Individual,0.03739837398373984
65,2019-04-18,Karl,pregame,1,cam,[],14.0,moving,Individual,0.022764227642276424
66,2019-04-18,Karl,pregame,1,tum,[],456.0,resting,Individual,0.7414634146341463
67,2019-04-18,Karl,pregame,2,tum,[],103.0,resting,Individual,0.17024793388429751
68,2019-04-18,Karl,pregame,2,cam,[],14.0,moving,Individual,0.023140495867768594
69,2019-04-18,Karl,pregame,2,sen,[],25.0,resting,Individual,0.04132231404958678
70,2019-04-18,Karl,pregame,2,cam,[],5.0,moving,Individual,0.008264462809917356
71,2019-04-18,Karl,pregame,2,sen,[],30.0,resting,Individual,0.049586776859504134
72,2019-04-18,Karl,pregame,2,cam,[],12.0,moving,Individual,0.019834710743801654
73,2019-04-18,Karl,pregame,2,sen,[],10.0,resting,Individual,0.01652892561983471
74,2019-04-18,Karl,pregame,2,ras,[],10.0,grooming,Individual,0.01652892561983471
75,2019-04-18,Karl,pregame,2,sen,[],16.0,resting,Individual,0.026446280991735537
76,2019-04-18,Karl,pregame,2,con,['Hadia'],3.0,agonistic,Agonistic,0.0049586776859504135
77,2019-04-18,Karl,pregame,2,sen,[],12.0,resting,Individual,0.019834710743801654
78,2019-04-18,Karl,pregame,2,forr,[],8.0,feeding,Individual,0.013223140495867768
79,2019-04-18,Karl,pregame,2,cam,[],16.0,moving,Individual,0.026446280991735537
80,2019-04-18,Karl,pregame,2,tum,[],76.0,resting,Individual,0.1256198347107438
81,2019-04-18,Karl,pregame,2,cam,[],7.0,moving,Individual,0.011570247933884297
82,2019-04-18,Karl,pregame,2,sen,[],103.0,resting,Individual,0.17024793388429751
83,2019-04-18,Karl,pregame,2,cam,[],15.0,moving,Individual,0.024793388429752067
84,2019-04-18,Karl,pregame,2,groo,[],27.0,grooming,Individual,0.04462809917355372
85,2019-04-18,Karl,pregame,2,sen,[],64.0,resting,Individual,0.10578512396694215
86,2019-04-18,Karl,pregame,2,cam,[],8.0,moving,Individual,0.013223140495867768
87,2019-04-18,Karl,pregame,2,tum,[],41.0,resting,Individual,0.06776859504132231
88,2019-04-19,Karl,pregame,1,sen,[],265.0,resting,Individual,0.44166666666666665
89,2019-04-19,Karl,pregame,1,tum,[],335.0,resting,Individual,0.5583333333333333
90,2019-04-19,Karl,pregame,2,sen,[],12.0,resting,Individual,0.02
91,2019-04-19,Karl,pregame,2,cam,[],14.0,moving,Individual,0.023333333333333334
92,2019-04-19,Karl,pregame,2,sen,[],118.0,resting,Individual,0.19666666666666666
93,2019-04-19,Karl,pregame,2,ras,[],12.0,grooming,Individual,0.02
94,2019-04-19,Karl,pregame,2,sen,[],24.0,resting,Individual,0.04
95,2019-04-19,Karl,pregame,2,marc,['Gibon'],8.0,agonistic,Agonistic,0.013333333333333334
96,2019-04-19,Karl,pregame,2,cam,[],2.0,moving,Individual,0.0033333333333333335
97,2019-04-19,Karl,pregame,2,sen,[],24.0,resting,Individual,0.04
98,2019-04-19,Karl,pregame,2,ras,[],2.0,grooming,Individual,0.0033333333333333335
99,2019-04-19,Karl,pregame,2,sen,[],19.0,resting,Individual,0.03166666666666667
100,2019-04-19,Karl,pregame,2,cam,[],3.0,moving,Individual,0.005
101,2019-04-19,Karl,pregame,2,sen,[],7.0,resting,Individual,0.011666666666666667
102,2019-04-19,Karl,pregame,2,cam,[],5.0,moving,Individual,0.008333333333333333
103,2019-04-19,Karl,pregame,2,tum,[],56.0,resting,Individual,0.09333333333333334
104,2019-04-19,Karl,pregame,2,ras,[],4.0,grooming,Individual,0.006666666666666667
105,2019-04-19,Karl,pregame,2,tum,[],102.0,resting,Individual,0.17
106,2019-04-19,Karl,pregame,2,ras,[],5.0,grooming,Individual,0.008333333333333333
107,2019-04-19,Karl,pregame,2,tum,[],29.0,resting,Individual,0.04833333333333333
108,2019-04-19,Karl,pregame,2,ras,[],4.0,grooming,Individual,0.006666666666666667
109,2019-04-19,Karl,pregame,2,tum,[],51.0,resting,Individual,0.085
110,2019-04-19,Karl,pregame,2,ras,[],4.0,grooming,Individual,0.006666666666666667
111,2019-04-19,Karl,pregame,2,tum,[],95.0,resting,Individual,0.15833333333333333
112,2019-04-22,Karl,pregame,1,tum,[],485.0,resting,Individual,0.8083333333333333
113,2019-04-22,Karl,pregame,1,cam,[],17.0,moving,Individual,0.028333333333333332
114,2019-04-22,Karl,pregame,1,sen,[],78.0,resting,Individual,0.13
115,2019-04-22,Karl,pregame,1,marc,['Hadia'],10.0,agonistic,Agonistic,0.016666666666666666
116,2019-04-22,Karl,pregame,1,cam,[],10.0,moving,Individual,0.016666666666666666
117,2019-04-22,Karl,pregame,2,alim,[],15.0,feeding,Individual,0.025
118,2019-04-22,Karl,pregame,2,forr,[],15.0,feeding,Individual,0.025
119,2019-04-22,Karl,pregame,2,alim,[],77.0,feeding,Individual,0.12833333333333333
120,2019-04-22,Karl,pregame,2,cam,[],8.0,moving,Individual,0.013333333333333334
121,2019-04-22,Karl,pregame,2,forr,[],16.0,feeding,Individual,0.02666666666666667
122,2019-04-22,Karl,pregame,2,alim,[],20.0,feeding,Individual,0.03333333333333333
123,2019-04-22,Karl,pregame,2,forr,[],16.0,feeding,Individual,0.02666666666666667
124,2019-04-22,Karl,pregame,2,sen,[],15.0,resting,Individual,0.025
125,2019-04-22,Karl,pregame,2,cam,[],11.0,moving,Individual,0.018333333333333333
126,2019-04-22,Karl,pregame,2,alim,[],7.0,feeding,Individual,0.011666666666666667
127,2019-04-22,Karl,pregame,2,cam,[],11.0,moving,Individual,0.018333333333333333
128,2019-04-22,Karl,pregame,2,sen,[],14.0,resting,Individual,0.023333333333333334
129,2019-04-22,Karl,pregame,2,cam,[],14.0,moving,Individual,0.023333333333333334
130,2019-04-22,Karl,pregame,2,alim,[],22.0,feeding,Individual,0.03666666666666667
131,2019-04-22,Karl,pregame,2,solj,['Hadia'],7.0,social,Social,0.011666666666666667
132,2019-04-22,Karl,pregame,2,jun,['Hadia'],37.0,social,Social,0.06166666666666667
133,2019-04-22,Karl,pregame,2,forr,[],22.0,feeding,Individual,0.03666666666666667
134,2019-04-22,Karl,pregame,2,alim,[],23.0,feeding,Individual,0.03833333333333333
135,2019-04-22,Karl,pregame,2,jun,['Hadia'],20.0,social,Social,0.03333333333333333
136,2019-04-22,Karl,pregame,2,sen,[],39.0,resting,Individual,0.065
137,2019-04-22,Karl,pregame,2,forr,[],11.0,feeding,Individual,0.018333333333333333
138,2019-04-22,Karl,pregame,2,sen,[],45.0,resting,Individual,0.075
139,2019-04-22,Karl,pregame,2,ras,[],8.0,grooming,Individual,0.013333333333333334
140,2019-04-22,Karl,pregame,2,sen,[],20.0,resting,Individual,0.03333333333333333
141,2019-04-22,Karl,pregame,2,con,['Hadia'],5.0,agonistic,Agonistic,0.008333333333333333
142,2019-04-22,Karl,pregame,2,sen,[],20.0,resting,Individual,0.03333333333333333
143,2019-04-22,Karl,pregame,2,alim,[],12.0,feeding,Individual,0.02
144,2019-04-22,Karl,pregame,2,sen,[],11.0,resting,Individual,0.018333333333333333
145,2019-04-22,Karl,pregame,2,ras,[],6.0,grooming,Individual,0.01
146,2019-04-22,Karl,pregame,2,sen,[],15.0,resting,Individual,0.025
147,2019-04-22,Karl,pregame,2,forr,[],12.0,feeding,Individual,0.02
148,2019-04-22,Karl,pregame,2,alim,[],17.0,feeding,Individual,0.028333333333333332
149,2019-04-22,Karl,pregame,2,forr,[],9.0,feeding,Individual,0.015
150,2019-04-23,Karl,pregame,1,tum,[],12.0,resting,Individual,0.02
151,2019-04-23,Karl,pregame,1,ras,[],2.0,grooming,Individual,0.0033333333333333335
152,2019-04-23,Karl,pregame,1,tum,[],586.0,resting,Individual,0.9766666666666667
153,2019-04-23,Karl,pregame,2,tum,[],600.0,resting,Individual,1.0
154,2019-04-24,Karl,pregame,1,forr,[],45.0,feeding,Individual,0.07666098807495741
155,2019-04-24,Karl,pregame,1,forr,[],80.0,feeding,Individual,0.1362862010221465
156,2019-04-24,Karl,pregame,1,alim,[],12.0,feeding,Individual,0.020442930153321975
157,2019-04-24,Karl,pregame,1,forr,[],112.0,feeding,Individual,0.19080068143100512
158,2019-04-24,Karl,pregame,1,cam,[],6.0,moving,Individual,0.010221465076660987
159,2019-04-24,Karl,pregame,1,sen,[],50.0,resting,Individual,0.08517887563884156
160,2019-04-24,Karl,pregame,1,forr,[],5.0,feeding,Individual,0.008517887563884156
161,2019-04-24,Karl,pregame,1,sen,[],73.0,resting,Individual,0.12436115843270869
162,2019-04-24,Karl,pregame,1,cam,[],10.0,moving,Individual,0.017035775127768313
163,2019-04-24,Karl,pregame,1,sen,[],56.0,resting,Individual,0.09540034071550256
164,2019-04-24,Karl,pregame,1,cam,[],11.0,moving,Individual,0.018739352640545145
165,2019-04-24,Karl,pregame,1,forr,[],19.0,feeding,Individual,0.03236797274275979
166,2019-04-24,Karl,pregame,1,sen,[],55.0,resting,Individual,0.09369676320272573
167,2019-04-24,Karl,pregame,1,groo,[],16.0,grooming,Individual,0.027257240204429302
168,2019-04-24,Karl,pregame,1,forr,[],5.0,feeding,Individual,0.008517887563884156
169,2019-04-24,Karl,pregame,1,cam,[],13.0,moving,Individual,0.022146507666098807
170,2019-04-24,Karl,pregame,1,sen,[],19.0,resting,Individual,0.03236797274275979
171,2019-04-25,Karl,pregame,2,sen,[],147.0,resting,Individual,0.245
172,2019-04-25,Karl,pregame,2,cam,[],25.0,moving,Individual,0.041666666666666664
173,2019-04-25,Karl,pregame,2,forr,[],428.0,feeding,Individual,0.7133333333333334
174,2019-04-26,Karl,pregame,1,sen,[],39.0,resting,Individual,0.06393442622950819
175,2019-04-26,Karl,pregame,1,groo,[],41.0,grooming,Individual,0.06721311475409836
176,2019-04-26,Karl,pregame,1,sen,[],28.0,resting,Individual,0.04590163934426229
177,2019-04-26,Karl,pregame,1,ras,[],5.0,grooming,Individual,0.00819672131147541
178,2019-04-26,Karl,pregame,1,sen,[],87.0,resting,Individual,0.14262295081967213
179,2019-04-26,Karl,pregame,1,ras,[],5.0,grooming,Individual,0.00819672131147541
180,2019-04-26,Karl,pregame,1,sen,[],405.0,resting,Individual,0.6639344262295082
181,2019-04-26,Karl,pregame,2,tum,[],60.0,resting,Individual,0.1
182,2019-04-26,Karl,pregame,2,cam,[],3.0,moving,Individual,0.005
183,2019-04-26,Karl,pregame,2,sen,[],34.0,resting,Individual,0.056666666666666664
184,2019-04-26,Karl,pregame,2,cam,[],3.0,moving,Individual,0.005
185,2019-04-26,Karl,pregame,2,sen,[],50.0,resting,Individual,0.08333333333333333
186,2019-04-26,Karl,pregame,2,cam,[],26.0,moving,Individual,0.043333333333333335
