subject,Hadia,Jawie,Karl,Locky,Popo,Storma
Hadia,0.0,0.5574712643678161,0.36363636363636365,0.05970149253731343,0.17567567567567569,0.17258883248730963
Jawie,0.521978021978022,0.0,0.0,0.029850746268656716,0.08108108108108109,0.2893401015228426
Karl,0.06043956043956044,0.0,0.0,0.0,0.0,0.0
Locky,0.0989010989010989,0.034482758620689655,0.0,0.0,0.21171171171171171,0.3197969543147208
Popo,0.32967032967032966,0.20114942528735633,0.0,0.6268656716417911,0.0,0.2182741116751269
Storma,0.17582417582417584,0.3103448275862069,0.2727272727272727,0.417910447761194,0.23423423423423423,0.0
