,Agonisticas_fq,Afiliativas_list,total_fq,fq_relativa_ago,fq_relativa_afi
prejuego,29,713,2663,0.010889973713856553,0.267743146826887
juego,32,712,2652,0.012066365007541479,0.2684766214177979
postjuego,18,772,2798,0.006433166547533953,0.27591136526090065
