subject,Hadia,Jawie,Karl,Locky,Popo,Storma
Hadia,0.0,0.6063829787234043,5.0,0.06875,0.24175824175824176,0.08677685950413223
Jawie,0.425,0.005319148936170213,1.5,0.04375,0.07142857142857142,0.32644628099173556
Karl,0.005,0.005319148936170213,0.0,0.0,0.0,0.0
Locky,0.1,0.010638297872340425,0.0,0.0,0.29120879120879123,0.3512396694214876
Popo,0.23,0.05851063829787234,0.0,0.54375,0.0,0.15702479338842976
Storma,0.325,0.28191489361702127,0.0,0.39375,0.33516483516483514,0.0
