subject,Hadia,Jawie,Karl,Locky,Popo,Storma
Hadia,0.0,0.532967032967033,0.02197802197802198,0.04395604395604396,0.21428571428571427,0.18681318681318682
Jawie,0.5459770114942529,0.0,0.0,0.022988505747126436,0.10344827586206896,0.3275862068965517
Karl,1.0,0.0,0.0,0.0,0.0,0.0
Locky,0.13432835820895522,0.04477611940298507,0.0,0.0,0.35074626865671643,0.4701492537313433
Popo,0.2702702702702703,0.15765765765765766,0.0,0.3783783783783784,0.0,0.19369369369369369
Storma,0.16243654822335024,0.27411167512690354,0.015228426395939087,0.28426395939086296,0.2639593908629442,0.0
